date_parsed,program_title,station,top3_nonconf_min,all_nonconf_min,news_pressure_uncorrected,news_pressure_corrected,conflict_any,conflict_total_min,n_stories
2005-02-16,ABC Evening News,ABC,6.5,28.666666666666664,6.5,6.802325581395349,0.0,0.0,14.0
2005-02-16,CBS Evening News,CBS,6.333333333333333,28.166666666666668,6.333333333333333,6.745562130177515,0.0,0.0,17.0
2005-02-17,ABC Evening News,ABC,6.833333333333334,28.833333333333336,6.833333333333334,7.109826589595376,0.0,0.0,17.0
2005-02-17,CBS Evening News,CBS,8.333333333333334,28.000000000000004,8.333333333333334,8.928571428571429,1.0,0.3333333333333333,18.0
2005-02-18,ABC Evening News,ABC,5.5,28.166666666666664,5.5,5.8579881656804735,0.0,0.0,18.0
2005-02-18,CBS Evening News,CBS,3.8333333333333335,27.833333333333336,3.8333333333333335,4.131736526946107,0.0,0.0,19.0
2005-02-19,ABC Evening News,ABC,4.333333333333333,28.333333333333332,4.333333333333333,4.588235294117648,0.0,0.0,19.0
2005-02-19,CBS Evening News,CBS,6.5,28.166666666666664,6.5,6.923076923076923,0.0,0.0,16.0
2005-02-20,ABC Evening News,ABC,5.5,28.16666666666667,5.5,5.857988165680473,1.0,0.3333333333333333,22.0
2005-02-20,CBS Evening News,CBS,5.0,26.5,5.0,5.660377358490566,1.0,1.5,18.0
2005-02-21,ABC Evening News,ABC,6.666666666666666,26.333333333333336,6.666666666666666,7.594936708860757,1.0,2.1666666666666665,19.0
2005-02-21,CBS Evening News,CBS,3.666666666666667,26.333333333333336,3.666666666666667,4.177215189873418,1.0,2.0,20.0
2005-02-22,ABC Evening News,ABC,5.833333333333334,28.333333333333332,5.833333333333334,6.176470588235295,0.0,0.0,20.0
2005-02-22,CBS Evening News,CBS,5.833333333333334,28.333333333333332,5.833333333333334,6.176470588235295,0.0,0.0,19.0
2005-02-23,ABC Evening News,ABC,4.166666666666667,28.333333333333336,4.166666666666667,4.411764705882353,0.0,0.0,19.0
2005-02-23,CBS Evening News,CBS,7.833333333333332,28.166666666666668,7.833333333333332,8.343195266272188,0.0,0.0,18.0
2005-02-24,ABC Evening News,ABC,7.666666666666667,28.166666666666668,7.666666666666667,8.165680473372781,0.0,0.0,17.0
2005-02-24,CBS Evening News,CBS,4.833333333333333,28.5,4.833333333333333,5.087719298245614,0.0,0.0,21.0
2005-02-25,ABC Evening News,ABC,4.333333333333333,28.166666666666668,4.333333333333333,4.615384615384615,1.0,0.3333333333333333,17.0
2005-02-25,CBS Evening News,CBS,3.666666666666667,26.833333333333336,3.666666666666667,4.099378881987578,1.0,1.6666666666666667,17.0
2005-02-26,CBS Evening News,CBS,5.5,26.333333333333332,5.5,6.265822784810127,1.0,1.6666666666666667,17.0
2005-02-27,ABC Evening News,ABC,5.833333333333334,27.833333333333336,5.833333333333334,6.287425149700599,0.0,0.0,16.0
2005-02-27,CBS Evening News,CBS,2.6666666666666665,18.666666666666668,2.6666666666666665,4.285714285714286,0.0,0.0,15.0
2005-02-28,ABC Evening News,ABC,7.333333333333332,28.833333333333336,7.333333333333332,7.6300578034682065,0.0,0.0,18.0
2005-02-28,CBS Evening News,CBS,4.5,28.333333333333332,4.5,4.764705882352941,0.0,0.0,20.0
2005-03-01,ABC Evening News,ABC,7.166666666666666,28.499999999999996,7.166666666666666,7.543859649122807,0.0,0.0,17.0
2005-03-01,CBS Evening News,CBS,5.333333333333334,28.500000000000007,5.333333333333334,5.614035087719298,0.0,0.0,19.0
2005-03-02,ABC Evening News,ABC,5.833333333333333,28.000000000000004,5.833333333333333,6.249999999999999,0.0,0.0,18.0
2005-03-02,CBS Evening News,CBS,4.5,28.166666666666668,4.5,4.792899408284024,0.0,0.0,19.0
2005-03-03,ABC Evening News,ABC,6.0,28.666666666666664,6.0,6.279069767441861,0.0,0.0,16.0
2005-03-03,CBS Evening News,CBS,5.833333333333334,28.666666666666668,5.833333333333334,6.104651162790699,0.0,0.0,19.0
2005-03-04,ABC Evening News,ABC,6.166666666666667,28.333333333333336,6.166666666666667,6.529411764705882,0.0,0.0,18.0
2005-03-04,CBS Evening News,CBS,4.666666666666667,28.0,4.666666666666667,5.0,0.0,0.0,18.0
2005-03-05,ABC Evening News,ABC,5.0,28.5,5.0,5.2631578947368425,0.0,0.0,16.0
2005-03-05,CBS Evening News,CBS,8.0,27.833333333333336,8.0,8.622754491017963,0.0,0.0,15.0
2005-03-06,ABC Evening News,ABC,5.0,28.666666666666668,5.0,5.232558139534883,0.0,0.0,17.0
2005-03-06,CBS Evening News,CBS,3.1666666666666665,14.666666666666666,3.1666666666666665,6.4772727272727275,0.0,0.0,14.0
2005-03-07,ABC Evening News,ABC,6.0,28.166666666666668,6.0,6.390532544378698,0.0,0.0,19.0
2005-03-07,CBS Evening News,CBS,7.666666666666666,28.666666666666668,7.666666666666666,8.023255813953487,0.0,0.0,20.0
2005-03-08,ABC Evening News,ABC,5.666666666666667,28.166666666666668,5.666666666666667,6.035502958579881,1.0,0.5,20.0
2005-03-08,CBS Evening News,CBS,7.833333333333334,28.666666666666668,7.833333333333334,8.197674418604652,0.0,0.0,19.0
2005-03-09,ABC Evening News,ABC,5.5,28.333333333333332,5.5,5.8235294117647065,0.0,0.0,20.0
2005-03-09,CBS Evening News,CBS,5.333333333333334,28.500000000000004,5.333333333333334,5.614035087719299,0.0,0.0,22.0
2005-03-10,ABC Evening News,ABC,5.166666666666666,28.333333333333332,5.166666666666666,5.470588235294117,0.0,0.0,19.0
2005-03-10,CBS Evening News,CBS,6.0,28.5,6.0,6.315789473684211,0.0,0.0,19.0
2005-03-11,ABC Evening News,ABC,7.333333333333334,28.166666666666664,7.333333333333334,7.810650887573966,0.0,0.0,16.0
2005-03-11,CBS Evening News,CBS,6.166666666666667,28.166666666666668,6.166666666666667,6.568047337278106,0.0,0.0,21.0
2005-03-12,ABC Evening News,ABC,3.8333333333333335,28.166666666666668,3.8333333333333335,4.0828402366863905,0.0,0.0,19.0
2005-03-13,ABC Evening News,ABC,3.8333333333333335,22.333333333333336,3.8333333333333335,5.149253731343283,1.0,2.1666666666666665,14.0
2005-03-14,ABC Evening News,ABC,5.666666666666666,28.333333333333336,5.666666666666666,5.999999999999998,0.0,0.0,20.0
2005-03-14,CBS Evening News,CBS,6.5,28.500000000000004,6.5,6.842105263157894,0.0,0.0,19.0
2005-03-15,ABC Evening News,ABC,5.666666666666666,28.666666666666664,5.666666666666666,5.930232558139535,0.0,0.0,18.0
2005-03-15,CBS Evening News,CBS,3.8333333333333335,28.666666666666668,3.8333333333333335,4.011627906976744,0.0,0.0,19.0
2005-03-16,ABC Evening News,ABC,6.333333333333334,28.500000000000004,6.333333333333334,6.666666666666667,0.0,0.0,20.0
2005-03-16,CBS Evening News,CBS,5.166666666666667,28.5,5.166666666666667,5.43859649122807,0.0,0.0,21.0
2005-03-17,ABC Evening News,ABC,7.666666666666666,28.66666666666667,7.666666666666666,8.023255813953487,0.0,0.0,15.0
2005-03-17,CBS Evening News,CBS,6.166666666666666,28.500000000000004,6.166666666666666,6.491228070175437,0.0,0.0,19.0
2005-03-18,ABC Evening News,ABC,9.666666666666666,28.5,9.666666666666666,10.175438596491228,0.0,0.0,14.0
